portable_name,canonical_name,variable_label
unitid,unitid,UNITID
award_year,award_year,Award year
award_year_start,award_year_start,Award year start
award_year_end,award_year_end,Award year end
grant__opeid8,grant__opeid8,Grant: OPEID8
grant__raw_opeid,grant__raw_opeid,Grant: Raw opeid
grant_source_identity_ff600db87e,grant__source_identity_resolution,Grant: Source identity resolution
grant__source_record_present,grant__source_record_present,Grant: Source record present
grant__source_filename,grant__source_filename,Grant: Source filename
grant__source_sheet,grant__source_sheet,Grant: Source sheet
grant__source_excel_row,grant__source_excel_row,Grant: Source excel row
grant__school,grant__school,Grant: School
grant__state,grant__state,Grant: State
grant__school_type,grant__school_type,Grant: School type
grant__pell_recipients,grant__pell_recipients,Grant: Pell recipients
grant__pell_recipients__status,grant__pell_recipients__status,Grant: Pell recipients status
grant_pell_recips_raw_be71b6397c,grant__pell_recipients__raw_token,Grant: Pell recipients raw token
grant_pell_recips_lb_d9ed2d6c4d,grant__pell_recipients__lower_bound,Grant: Pell recipients lower bound
grant_pell_recips_ub_fb5e100506,grant__pell_recipients__upper_bound,Grant: Pell recipients upper bound
grant__pell_disbursements,grant__pell_disbursements,Grant: Pell disbursements
grant_pell_disb_statu_dd269944c5,grant__pell_disbursements__status,Grant: Pell disbursements status
grant_pell_disb_raw_t_106464ad06,grant__pell_disbursements__raw_token,Grant: Pell disbursements raw token
grant_pell_disb_lb_cee283516d,grant__pell_disbursements__lower_bound,Grant: Pell disbursements lower bound
grant_pell_disb_ub_b2de192e84,grant__pell_disbursements__upper_bound,Grant: Pell disbursements upper bound
grant__raw_zip_code,grant__raw_zip_code,Grant: Raw zip code
grant__zip_code,grant__zip_code,Grant: Zip code
grant__acg_recipients,grant__acg_recipients,Grant: ACG recipients
grant__acg_recipients__status,grant__acg_recipients__status,Grant: ACG recipients status
grant__acg_recipients__raw_token,grant__acg_recipients__raw_token,Grant: ACG recipients raw token
grant_acg_recips_lb_65c289621e,grant__acg_recipients__lower_bound,Grant: ACG recipients lower bound
grant_acg_recips_ub_5bc9693856,grant__acg_recipients__upper_bound,Grant: ACG recipients upper bound
grant__acg_disbursements,grant__acg_disbursements,Grant: ACG disbursements
grant__acg_disbursements__status,grant__acg_disbursements__status,Grant: ACG disbursements status
grant_acg_disb_raw_to_f32d3d4a50,grant__acg_disbursements__raw_token,Grant: ACG disbursements raw token
grant_acg_disb_lb_6cf8cb57b0,grant__acg_disbursements__lower_bound,Grant: ACG disbursements lower bound
grant_acg_disb_ub_9383c4b790,grant__acg_disbursements__upper_bound,Grant: ACG disbursements upper bound
grant__smart_recipients,grant__smart_recipients,Grant: SMART recipients
grant__smart_recipients__status,grant__smart_recipients__status,Grant: SMART recipients status
grant_smart_recips_ra_7e573f02d7,grant__smart_recipients__raw_token,Grant: SMART recipients raw token
grant_smart_recips_lb_dff6010e02,grant__smart_recipients__lower_bound,Grant: SMART recipients lower bound
grant_smart_recips_ub_35de943310,grant__smart_recipients__upper_bound,Grant: SMART recipients upper bound
grant__smart_disbursements,grant__smart_disbursements,Grant: SMART disbursements
grant_smart_disb_stat_bd061f0d96,grant__smart_disbursements__status,Grant: SMART disbursements status
grant_smart_disb_raw__cdb501b3ba,grant__smart_disbursements__raw_token,Grant: SMART disbursements raw token
grant_smart_disb_lb_3232537425,grant__smart_disbursements__lower_bound,Grant: SMART disbursements lower bound
grant_smart_disb_ub_d4f41c7714,grant__smart_disbursements__upper_bound,Grant: SMART disbursements upper bound
grant__teach_recipients,grant__teach_recipients,Grant: TEACH recipients
grant__teach_recipients__status,grant__teach_recipients__status,Grant: TEACH recipients status
grant_teach_recips_ra_ea2502d329,grant__teach_recipients__raw_token,Grant: TEACH recipients raw token
grant_teach_recips_lb_4815cba2af,grant__teach_recipients__lower_bound,Grant: TEACH recipients lower bound
grant_teach_recips_ub_0dbc3b97ee,grant__teach_recipients__upper_bound,Grant: TEACH recipients upper bound
grant__teach_disbursements,grant__teach_disbursements,Grant: TEACH disbursements
grant_teach_disb_stat_47b91085e5,grant__teach_disbursements__status,Grant: TEACH disbursements status
grant_teach_disb_raw__70d9fee95a,grant__teach_disbursements__raw_token,Grant: TEACH disbursements raw token
grant_teach_disb_lb_4c8f339a12,grant__teach_disbursements__lower_bound,Grant: TEACH disbursements lower bound
grant_teach_disb_ub_6367211e92,grant__teach_disbursements__upper_bound,Grant: TEACH disbursements upper bound
grant__iasg_recipients,grant__iasg_recipients,Grant: IASG recipients
grant__iasg_recipients__status,grant__iasg_recipients__status,Grant: IASG recipients status
grant_iasg_recips_raw_8dc46b31e3,grant__iasg_recipients__raw_token,Grant: IASG recipients raw token
grant_iasg_recips_lb_3686374560,grant__iasg_recipients__lower_bound,Grant: IASG recipients lower bound
grant_iasg_recips_ub_8abae2389f,grant__iasg_recipients__upper_bound,Grant: IASG recipients upper bound
grant__iasg_disbursements,grant__iasg_disbursements,Grant: IASG disbursements
grant_iasg_disb_statu_c99a9ad4ab,grant__iasg_disbursements__status,Grant: IASG disbursements status
grant_iasg_disb_raw_t_65d9d31ce3,grant__iasg_disbursements__raw_token,Grant: IASG disbursements raw token
grant_iasg_disb_lb_2d8b4627d4,grant__iasg_disbursements__lower_bound,Grant: IASG disbursements lower bound
grant_iasg_disb_ub_5d13393b9f,grant__iasg_disbursements__upper_bound,Grant: IASG disbursements upper bound
grant__source_report_present,grant__source_report_present,Grant: Source report present
grant_fsa_school_revi_9d880c02b4,grant__fsa_school__review_required,Grant: FSA school review required
grant_fsa_state_revie_caad7fb8af,grant__fsa_state__review_required,Grant: FSA state review required
grant_fsa_zip_code_re_385fba09af,grant__fsa_zip_code__review_required,Grant: FSA zip code review required
grant_fsa_school_type_1f0bb0981e,grant__fsa_school_type__review_required,Grant: FSA school type review required
grant_fsa_descriptor__20cb95e914,grant__fsa_descriptor_review_required,Grant: FSA descriptor review required
grant__ipeds_anchor,grant__ipeds_anchor,Grant: IPEDS anchor
grant__ipeds_year,grant__ipeds_year,Grant: IPEDS year
grant__ipeds_match_status,grant__ipeds_match_status,Grant: IPEDS match status
grant__ipeds_match_method,grant__ipeds_match_method,Grant: IPEDS match method
grant_ipeds_exact_can_976b43df36,grant__ipeds_exact_candidate_count,Grant: IPEDS exact candidate count
grant__ipeds_unitid_start,grant__ipeds_unitid_start,Grant: IPEDS UNITID start
grant__ipeds_unitid_end,grant__ipeds_unitid_end,Grant: IPEDS UNITID end
grant_ipeds_start_can_ea18ba6da6,grant__ipeds_start_candidate_count,Grant: IPEDS start candidate count
grant__ipeds_end_candidate_count,grant__ipeds_end_candidate_count,Grant: IPEDS end candidate count
grant__ipeds_anchor_sensitivity,grant__ipeds_anchor_sensitivity,Grant: IPEDS anchor sensitivity
grant__ipeds_scope_root,grant__ipeds_scope_root,Grant: IPEDS scope root
grant_ipeds_root_unit_6e1cc7059d,grant__ipeds_root_unitid_count_start,Grant: IPEDS root UNITID count start
grant_ipeds_root_unit_6ee8485c07,grant__ipeds_root_unitid_count_end,Grant: IPEDS root UNITID count end
grant__fsa_root_opeid_count,grant__fsa_root_opeid_count,Grant: FSA root opeid count
grant_ipeds_opeid_lif_c46fd77dc2,grant__ipeds_opeid_lifetime_unitid_count,Grant: IPEDS opeid lifetime UNITID count
grant_ipeds_unitid_li_4b6feade0c,grant__ipeds_unitid_lifetime_opeid_count,Grant: IPEDS UNITID lifetime opeid count
grant__ipeds_strict_eligible,grant__ipeds_strict_eligible,Grant: IPEDS strict eligible
grant_ipeds_strict_ex_9e61f3132d,grant__ipeds_strict_exclusion_reasons,Grant: IPEDS strict exclusion reasons
grant__ipeds_reporting_scope,grant__ipeds_reporting_scope,Grant: IPEDS reporting scope
grant__ipeds_instnm,grant__ipeds_instnm,Grant: IPEDS instnm
grant__ipeds_stabbr,grant__ipeds_stabbr,Grant: IPEDS stabbr
grant__ipeds_city,grant__ipeds_city,Grant: IPEDS city
grant__ipeds_zip,grant__ipeds_zip,Grant: IPEDS zip
grant__ipeds_opeflag,grant__ipeds_opeflag,Grant: IPEDS opeflag
grant__ipeds_sector,grant__ipeds_sector,Grant: IPEDS sector
grant__ipeds_cyactive,grant__ipeds_cyactive,Grant: IPEDS cyactive
grant__ipeds_act,grant__ipeds_act,Grant: IPEDS act
grant__ipeds_newid,grant__ipeds_newid,Grant: IPEDS newid
grant__ipeds_deathyr,grant__ipeds_deathyr,Grant: IPEDS deathyr
grant__ipeds_closedat,grant__ipeds_closedat,Grant: IPEDS closedat
grant__ipeds_postsec,grant__ipeds_postsec,Grant: IPEDS postsec
grant__ipeds_pseflag,grant__ipeds_pseflag,Grant: IPEDS pseflag
grant__ipeds_pset4flg,grant__ipeds_pset4flg,Grant: IPEDS pset4flg
grant__ipeds_rptmth,grant__ipeds_rptmth,Grant: IPEDS rptmth
grant__ipeds_f1systyp,grant__ipeds_f1systyp,Grant: IPEDS f1systyp
grant__ipeds_f1sysnam,grant__ipeds_f1sysnam,Grant: IPEDS f1sysnam
grant__ipeds_f1syscod,grant__ipeds_f1syscod,Grant: IPEDS f1syscod
grant__prch_ic,grant__prch_ic,Grant: Prch ic
grant__idx_ic,grant__idx_ic,Grant: Idx ic
grant__ipeds_source_path,grant__ipeds_source_path,Grant: IPEDS source path
grant__ipeds_source_sha256,grant__ipeds_source_sha256,Grant: IPEDS source sha256
grant__ipeds_source_member,grant__ipeds_source_member,Grant: IPEDS source member
grant__prch_c,grant__prch_c,Grant: Prch c
grant__idx_c,grant__idx_c,Grant: Idx c
grant__prch_ef,grant__prch_ef,Grant: Prch ef
grant__idx_ef,grant__idx_ef,Grant: Idx ef
grant__prch_f,grant__prch_f,Grant: Prch f
grant__idx_f,grant__idx_f,Grant: Idx f
grant__prch_sfa,grant__prch_sfa,Grant: Prch sfa
grant__idx_sfa,grant__idx_sfa,Grant: Idx sfa
grant__prch_gr,grant__prch_gr,Grant: Prch gr
grant__idx_gr,grant__idx_gr,Grant: Idx gr
grant__prch_sa,grant__prch_sa,Grant: Prch sa
grant__idx_sa,grant__idx_sa,Grant: Idx sa
grant__prch_s,grant__prch_s,Grant: Prch s
grant__idx_s,grant__idx_s,Grant: Idx s
grant__prch_eap,grant__prch_eap,Grant: Prch eap
grant__idx_eap,grant__idx_eap,Grant: Idx eap
grant__prch_hr,grant__prch_hr,Grant: Prch hr
grant__idx_hr,grant__idx_hr,Grant: Idx hr
grant__prch_e12,grant__prch_e12,Grant: Prch e12
grant__idx_e12,grant__idx_e12,Grant: Idx e12
grant__prch_gr2,grant__prch_gr2,Grant: Prch gr2
grant__idx_gr2,grant__idx_gr2,Grant: Idx gr2
grant__prch_al,grant__prch_al,Grant: Prch al
grant__idx_al,grant__idx_al,Grant: Idx al
grant__prch_om,grant__prch_om,Grant: Prch om
grant__idx_om,grant__idx_om,Grant: Idx om
grant__prchtp_f,grant__prchtp_f,Grant: Prchtp f
grant__prch_adm,grant__prch_adm,Grant: Prch adm
grant__idx_adm,grant__idx_adm,Grant: Idx adm
grant__prch_cos,grant__prch_cos,Grant: Prch cos
grant__idx_cos,grant__idx_cos,Grant: Idx cos
grant__ipeds_directory_unitid,grant__ipeds_directory_unitid,Grant: IPEDS directory UNITID
grant_ipeds_directory_15ecfec453,grant__ipeds_directory_match_status,Grant: IPEDS directory match status
grant__ipeds_geography_class,grant__ipeds_geography_class,Grant: IPEDS geography class
grant__ipeds_crosswalk_available,grant__ipeds_crosswalk_available,Grant: IPEDS crosswalk available
grant_ipeds_crosswalk_351100db7f,grant__ipeds_crosswalk_site_unitids_json,Grant: IPEDS crosswalk site unitids json
grant_ipeds_crosswalk_68777a39f6,grant__ipeds_crosswalk_parent_unitids_json,Grant: IPEDS crosswalk parent unitids json
grant_ipeds_directory_bf284e44c4,grant__ipeds_directory_candidate_unitids_json,Grant: IPEDS directory candidate unitids json
grant_ipeds_crosswalk_dc7df9d98a,grant__ipeds_crosswalk_anchor_sensitivity,Grant: IPEDS crosswalk anchor sensitivity
grant__fsa_source_identity_kind,grant__fsa_source_identity_kind,Grant: FSA source identity kind
grant_ipeds_candidate_8c1cc4d975,grant__ipeds_candidate_unitid_before_descriptor_review,Grant: IPEDS candidate UNITID before descriptor review
grant__ipeds_candidate_instnm,grant__ipeds_candidate_instnm,Grant: IPEDS candidate instnm
grant__ipeds_candidate_stabbr,grant__ipeds_candidate_stabbr,Grant: IPEDS candidate stabbr
grant_ipeds_identity__9a4c6dd793,grant__ipeds_identity_geography_conflict,Grant: IPEDS identity geography conflict
grant_ipeds_fsa_hd_st_079356c4b3,grant__ipeds_fsa_hd_state_conflict,Grant: IPEDS FSA hd state conflict
grant_ipeds_fsa_hd_na_8973806560,grant__ipeds_fsa_hd_name_similarity,Grant: IPEDS FSA hd name similarity
grant_ipeds_fsa_hd_na_ff77785b54,grant__ipeds_fsa_hd_name_review_required,Grant: IPEDS FSA hd name review required
grant__ipeds_resolution_status,grant__ipeds_resolution_status,Grant: IPEDS resolution status
grant_ipeds_annual_id_07d89d6242,grant__ipeds_annual_identity_eligible,Grant: IPEDS annual identity eligible
grant_ipeds_identity__4ce5af069f,grant__ipeds_identity_is_administrative,Grant: IPEDS identity is administrative
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,Grant: IPEDS title iv status
grant__ipeds_activity_code,grant__ipeds_activity_code,Grant: IPEDS activity code
grant_ipeds_current_y_7a4a8a3eeb,grant__ipeds_current_year_active_code,Grant: IPEDS current year active code
grant__ipeds_closed_with_data,grant__ipeds_closed_with_data,Grant: IPEDS closed with data
grant_ipeds_identity__04493c90e4,grant__ipeds_identity_uses_historical_relation,Grant: IPEDS identity uses historical relation
grant_ipeds_identity__d0463e9383,grant__ipeds_identity_strict_contemporaneous,Grant: IPEDS identity strict contemporaneous
grant__ipeds_scope_alignment,grant__ipeds_scope_alignment,Grant: IPEDS scope alignment
grant_ipeds_has_other_938319426e,grant__ipeds_has_other_parent_unitid,Grant: IPEDS has other parent UNITID
grant_ipeds_component_49c6ae00b5,grant__ipeds_component_scope_review_required,Grant: IPEDS component scope review required
grant__ipeds_finance_scope,grant__ipeds_finance_scope,Grant: IPEDS finance scope
grant_ipeds_finance_p_bed618ae25,grant__ipeds_finance_parent_reference_missing,Grant: IPEDS finance parent reference missing
grant__ipeds_student_aid_scope,grant__ipeds_student_aid_scope,Grant: IPEDS student aid scope
grant_ipeds_student_a_c49b19bdc6,grant__ipeds_student_aid_parent_reference_missing,Grant: IPEDS student aid parent reference missing
grant_ipeds_fall_enro_2cdccd99fa,grant__ipeds_fall_enrollment_scope,Grant: IPEDS fall enrollment scope
grant_ipeds_fall_enro_f903d0e4a2,grant__ipeds_fall_enrollment_parent_reference_missing,Grant: IPEDS fall enrollment parent reference missing
grant__ipeds_completions_scope,grant__ipeds_completions_scope,Grant: IPEDS completions scope
grant_ipeds_completio_5718b64c1c,grant__ipeds_completions_parent_reference_missing,Grant: IPEDS completions parent reference missing
grant_ipeds_twelve_mo_ee12b7da3d,grant__ipeds_twelve_month_enrollment_scope,Grant: IPEDS twelve month enrollment scope
grant_ipeds_twelve_mo_99c928421b,grant__ipeds_twelve_month_enrollment_parent_reference_missing,Grant: IPEDS twelve month enrollment parent reference missing
grant__cw_source_row,grant__cw_source_row,Grant: Crosswalk source row
grant__cw_source_path,grant__cw_source_path,Grant: Crosswalk source path
grant__cw_source_sha256,grant__cw_source_sha256,Grant: Crosswalk source sha256
grant__cw_preliminary,grant__cw_preliminary,Grant: Crosswalk preliminary
grant__cw_source_code,grant__cw_source_code,Grant: Crosswalk source code
grant__cw_source_method,grant__cw_source_method,Grant: Crosswalk source method
grant__cw_ipeds_reporting_code,grant__cw_ipeds_reporting_code,Grant: Crosswalk IPEDS reporting code
grant__cw_parent_opeid8,grant__cw_parent_opeid8,Grant: Crosswalk parent OPEID8
grant__cw_site_candidate_count,grant__cw_site_candidate_count,Grant: Crosswalk site candidate count
grant__cw_primary_unitid,grant__cw_primary_unitid,Grant: Crosswalk primary UNITID
grant_cw_additional_c_bb578120a4,grant__cw_additional_candidate_count,Grant: Crosswalk additional candidate count
grant__cw_parent_candidate_count,grant__cw_parent_candidate_count,Grant: Crosswalk parent candidate count
grant__cw_has_additional_match,grant__cw_has_additional_match,Grant: Crosswalk has additional match
grant__cw_multiple_site_unitids,grant__cw_multiple_site_unitids,Grant: Crosswalk multiple site unitids
grant_cw_relation_par_b14bf0b533,grant__cw_relation_parse_complete,Grant: Crosswalk relation parse complete
grant__cw_site_parse_complete,grant__cw_site_parse_complete,Grant: Crosswalk site parse complete
grant__cw_parse_issues_json,grant__cw_parse_issues_json,Grant: Crosswalk parse issues json
grant_cw_site_parent__282f7127bd,grant__cw_site_parent_unitids_differ,Grant: Crosswalk site parent unitids differ
grant__cw_official_no_match,grant__cw_official_no_match,Grant: Crosswalk official no match
grant__cw_has_change_notes,grant__cw_has_change_notes,Grant: Crosswalk has change notes
grant__cw_has_prior_id_notes,grant__cw_has_prior_id_notes,Grant: Crosswalk has prior id notes
grant__cw_raw_OPEID,grant__cw_raw_OPEID,Grant: Crosswalk raw OPEID
grant__cw_raw_IPEDSMatch,grant__cw_raw_IPEDSMatch,Grant: Crosswalk raw IPEDSMatch
grant__cw_raw_AddMatch,grant__cw_raw_AddMatch,Grant: Crosswalk raw AddMatch
grant__cw_raw_Source,grant__cw_raw_Source,Grant: Crosswalk raw Source
grant__cw_raw_PEPSSchname,grant__cw_raw_PEPSSchname,Grant: Crosswalk raw PEPSSchname
grant__cw_raw_PEPSLocname,grant__cw_raw_PEPSLocname,Grant: Crosswalk raw PEPSLocname
grant__cw_raw_PEPSEligCert,grant__cw_raw_PEPSEligCert,Grant: Crosswalk raw PEPSEligCert
grant__cw_raw_IPEDSInstnm,grant__cw_raw_IPEDSInstnm,Grant: Crosswalk raw IPEDSInstnm
grant__cw_raw_IPEDSPSET4FLG,grant__cw_raw_IPEDSPSET4FLG,Grant: Crosswalk raw IPEDSPSET4FLG
grant__cw_raw_f1sysnam,grant__cw_raw_f1sysnam,Grant: Crosswalk raw f1sysnam
grant__cw_raw_IPEDSrpt,grant__cw_raw_IPEDSrpt,Grant: Crosswalk raw IPEDSrpt
grant__cw_raw_OPEIDMain,grant__cw_raw_OPEIDMain,Grant: Crosswalk raw OPEIDMain
grant__cw_raw_IPEDSMain,grant__cw_raw_IPEDSMain,Grant: Crosswalk raw IPEDSMain
grant__cw_raw_PY_UNITID,grant__cw_raw_PY_UNITID,Grant: Crosswalk raw PY UNITID
grant__cw_raw_PYNotes,grant__cw_raw_PYNotes,Grant: Crosswalk raw PYNotes
grant__cw_raw_PY_OPEID,grant__cw_raw_PY_OPEID,Grant: Crosswalk raw PY OPEID
grant__cw_raw_COA1,grant__cw_raw_COA1,Grant: Crosswalk raw COA1
grant__cw_raw_COA2,grant__cw_raw_COA2,Grant: Crosswalk raw COA2
grant__cw_raw_COA3,grant__cw_raw_COA3,Grant: Crosswalk raw COA3
grant__cw_raw_COA4,grant__cw_raw_COA4,Grant: Crosswalk raw COA4
grant__cw_raw_COA5,grant__cw_raw_COA5,Grant: Crosswalk raw COA5
grant__cw_duplicate_opeid_rows,grant__cw_duplicate_opeid_rows,Grant: Crosswalk duplicate opeid rows
grant_source_identity_f17093024f,grant__source_identity_evidence_json,Grant: Source identity evidence json
grant__source_sha256,grant__source_sha256,Grant: Source sha256
grant_unitid_source_r_df0e4dbea1,grant__unitid_source_record_count,Grant: UNITID source record count
grant__unitid_record_status,grant__unitid_record_status,Grant: UNITID record status
grant__unitid_aid_scope_note,grant__unitid_aid_scope_note,Grant: UNITID aid scope note
campus__opeid8,campus__opeid8,Campus-based: OPEID8
campus__raw_opeid,campus__raw_opeid,Campus-based: Raw opeid
campus_source_identit_d6181cd035,campus__source_identity_resolution,Campus-based: Source identity resolution
campus__source_record_present,campus__source_record_present,Campus-based: Source record present
